Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM,SplitUofM,,
"JFC International, Inc",47764,Sangaria Ramune Lychee,NA BEV Ramune - Lychee - 18/6.76oz,Case - 18/Bottle (6.76 OZ-fl),,,
"JFC International, Inc",48242,GU Ramen Base Tonkotsu,GROC Base Tonkotsu - 6/4.4 LB,Case - 6/Pack (4.4 LB),Pack (4.4 LB),,
"JFC International, Inc",49055,JB Edamame Soybeans,ZZZ PROD Edamame - 10/2.2 LB,Case - 10/Pack (2 LB),,,
"JFC International, Inc",60100,WP TAKOYAKI 45PC,ZZZ GROC *Takoyaki,Case - 4/Pack (45 CT),,,
"JFC International, Inc",60725,Yamaki Hanakatsuo Bonito,ZZZ GROC *Spice Bonito/Hanakatsuo Flakes,Case - 6/Pack (1 LB),,,
"JFC International, Inc",60836,Assi Red Chili Pepper Powder - 8/5LB,ZZZ GROC *Red Chili Pepper Assi Powder - 8/5LB,Case - 8/Pack (5 LB),Pack (5 LB),,
"JFC International, Inc",68472,Kobayashi Sapporo Ramen LBP130,GROC Noodle - Ramen - 7/5CT,Case - 7/Pack (5 CT),Pack (5 CT),,
"JFC International, Inc",69328,Elite Hiyashi Wakame No MSG,GROC Ajinomoto - MSG - 1/50LB,Case - 4/Pack (4.4 LB),Pack (4.4 LB),,
"JFC International, Inc",81078,Ozeki Salted Sweet Sake for Cooking 18L,GROC Sake - Mirin - 1/18L,Pack (18 LT),,,
"JFC International, Inc",84148,WAKOU #1 Tonkotsu Ramen 3206530 12/2.2#,GROC Soup base - Tonkotsu - 12/2.2LB,Case - 12/Pack (2.2 LB),Pack (2.2 LB),,
"JFC International, Inc",84149,WAKOU #2 Tokyo Shoyu 3016141,GROC Base Shoyu - 6/4.4LB,Case - 6/Pack (4.4 LB),Pack (4.4 LB),,
"JFC International, Inc",85325,Wakou #2 Tokyo Shoyu 3016136 6/4.40#,GROC Base Shoyu - 6/4.4LB,Case - 6/Pack (4.4 LB),Pack (4.4 LB),,
"JFC International, Inc",85595,Wakou #1 Tonkotsu Ramen 3206536,GROC Base Tonkotsu - 6/4.4 LB,Case - 6/Pack (4.4 LB),Pack (4.4 LB),,
"JFC International, Inc",64067,SUN NDL RAMEN VH-22W 11110 - 50/5oz,GROC Noodle Ramen - 50/5oz,Case - 50/Pack (5 oz-wt),Case - 50/Pack (5 oz-wt),,
