Email Subject,Invoice #,Vendor Name,Status,Exception Message
Invoice from Touchstone Commercial Services,5383,UCHSTONE COMMERCIAL SERVICES,,
Cintas Invoice # 4226310313 04/04/2025-0018531376,4226310313,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUPBOP 1024 N MAIN ST TOOELE, UT 84074-1639"
Cintas Invoice # 4226309750 04/04/2025-0013216354,4226309750,,,"Process Not Started as vendor exists in by pass list, Vendor name - "
Cintas Invoice # 4226309799 04/04/2025-0013213133,4226309799,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUPBOP KOREAN BBQ 592 E 12300 S DRAPER, UT 84020-7868"
Payment of $228.88 is outstanding for INV-66562,INV-66562,Savi Solutions,,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Payment of $252.63 is outstanding for INV-66557,INV-66557,Savi Solutions,,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Payment receipt for Invoice #1506564,1506564,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506563,1506563,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506562,1506562,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506561,1506561,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506560,1506560,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506558,1506558,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506559,1506559,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506556,1506556,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506557,1506557,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506555,1506555,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506552,1506552,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506553,1506553,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506551,1506551,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Payment receipt for Invoice #1506550,1506550,"Creative Media Solutions, LLC dba Jukeboxy Music",,
Sysco Arizona - CUPBOP HUACHUCA - 700932 - Invoice 649999113,649999113,"SYSCO ARIZONA, INC.",,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Cintas Invoice # 4226305423 04/04/2025-0015745549,4226305423,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUP BOP 719 E UNIVERSITY PKWY OREM, UT 84097-7771"
Cintas Invoice # 4226369395 04/04/2025-0015165379,4226369395,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUPBOP 743 KING ST LAYTON, UT 84041-4678"
Cintas Invoice # 4226374450 04/04/2025-0019558118,4226374450,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUPBOP KOREAN BBQ 2662 S 5600 W WEST VALLEY CITY, UT 84120-2164"
Cintas Invoice # 4226376081 04/04/2025-0013213539,4226376081,CINTAS,,"Process Not Started as Location not exists on restaurent365, looking for :-->  CUPBOP DAYBREAK 11259 S KESTREL RISE RD SOUTH JORDAN, UT 84009-8155"
Invoice from Chameleon Graphic Solutions - #A406,A406,Chameleon Graphic Solutions,,"Process Not Started as vendor exists in by pass list, Vendor name - Chameleon Graphic Solutions"
Auto-Chlor System Invoice for CUPBOP RAMEN 930,255300900469,AUTO-CHLOR SYSTEM,,"Process Not Started as vendor exists in by pass list, Vendor name - AUTO-CHLOR SYSTEM"
Luke AFB stainless invoice,,Freedom Fab & Powder LLC,,"Process Not Started as vendor exists in by pass list, Vendor name - Freedom Fab & Powder LLC"
CSC Landlord Trash Program Invoice,PCSOP1784564,"Corporate Services Consultants, LLC",,"Process Not Started as Location not exists on restaurent365, looking for :-->  Cupbop The Shops at Fort Union 20239 7178 Union Park Ave. Midvale, UT 84047"
UVU invoice,685417760,Sysco SYSCO INTERMOUNTAIN,,"Process Not Started as Location not exists on restaurent365, looking for :-->  "
Payment receipt for Invoice #1506541,1506541,"Creative Media Solutions, LLC dba Jukeboxy Music",,"Process Not Started as vendor exists in by pass list, Vendor name - Creative Media Solutions, LLC dba Jukeboxy Music"
Sysco Intermountain - CUPBOP WEST VALLEY 2 - 980819 - Invoice 685417856,685417856,,,"Process Not Started as vendor exists in by pass list, Vendor name - "
